#OTU ID	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3
a1e751a8a8014d95da72a017962535ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	33	33	0	61	0	42	56	78	0	0	0	49	33	25	50	0	0	53	0	0	0	40	516	80	64	90	52	70	105	49	0	0	0	0	0	0	0	0	0	0	0	0
c9076890af59275b0d468e3ee4256bb4	89	74	120	34	26	27	20	28	15	50	63	79	25	47	40	25	69	29	0	0	0	6	0	0	0	0	0	14	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	41	39	38	29	37	59	79	63	50	97	99
d86cdab95de0ce5db6aabdc3e84c1917	0	0	0	0	16	57	0	0	0	0	0	0	0	0	0	0	34	0	2	0	1169	11	38	27	0	0	47	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	59
fe98abcc12aadd66955f1104bf61dfac	0	0	0	16	9	22	0	0	0	0	0	0	0	0	0	0	23	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	275	297	0	6	16	14	0	0	0	0	21
c8f51d88375e9dbb640f80e174d84a24	28	27	61	38	20	43	50	35	0	48	32	45	40	50	36	28	25	26	12	0	0	23	24	18	30	17	26	0	15	17	27	16	24	16	18	25	17	5	11	13	15	21	16	13	25	15	13	20	28	27	26	42	39	27	54	41	37	25	41	33
38adfd3476c2882f51724667ad196f8b	31	45	48	70	25	52	62	53	13	37	53	57	59	61	60	42	75	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	27	42	57	58	47	51	44	68	67	72	65
a4dd6aea16bd6418631cf32570d0c7ba	102	93	101	39	23	39	17	26	0	59	70	47	45	49	64	21	69	15	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	35	31	42	49	42	39	57	44	64	108	80
ae0984c73c8bb21e8a0b2febff0fca29	25	83	76	57	37	32	52	31	16	51	54	72	54	56	55	49	54	54	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	32	43	53	34	52	39	57	53	54	53	50
184a28d8ee3118f0e6043afdb83eb3ef	0	64	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	12	11	0	0	0	3	1237	0	53	94	0	0	0	0	0	0	0	0	0	0	0	0
dd3c97cd1088ab26ab34d5c160bee437	76	65	104	38	22	41	57	45	14	63	53	51	42	45	44	33	37	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	31	39	48	48	55	39	76	70	55	58	67
