#OTU ID	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3
dc37f998caebf77b26fe7ecf867490b2	30	0	0	913	103	199	0	0	0	0	0	0	0	81	0	351	586	494	94	624	122	0	0	34	0	0	0	73	106	0	0	0	0	0	214	256	121	99	107	196	115	66	2489	7310	821	987	268	627	145	146	135	0	0	816	260	1776	1262	9033	0	52
3642f744af378a50502352fc1ea68338	754	1377	3046	686	1205	1344	286	335	205	578	527	620	330	166	301	325	341	480	188	214	196	131	252	257	126	174	270	176	223	278	1800	2812	3028	1316	665	1091	200	197	151	94	93	90	107	132	179	443	275	526	267	223	218	63	51	98	82	94	522	127	278	314
e9476d2630dbb3bd9f18a8b1bb61fea1	969	388	0	434	552	505	1458	2891	8413	488	399	469	423	311	84	0	38	0	93	154	658	28	47	41	88	278	102	28	56	38	102	104	126	631	119	199	1047	2492	3799	98	136	112	152	157	122	91	26	0	225	597	501	46	21	41	0	0	0	10	0	0
8c1613a09fefd0ae7ea4ff1d238dd9a3	309	4110	535	1269	195	767	136	124	85	314	167	187	70	193	1001	4054	1212	4647	156	197	141	163	139	209	75	32	284	186	68	289	553	340	588	12	165	226	84	104	106	48	50	34	49	59	39	2141	1595	1604	73	90	137	32	30	60	37	44	30	323	150	167
e656f69b552c09a5cc975676a527995e	917	1438	1518	742	288	394	195	229	126	519	547	487	90	321	367	899	794	1019	188	215	175	200	320	321	70	237	317	185	173	303	1607	2883	1939	167	224	370	157	200	224	89	154	93	155	322	127	1006	505	1360	262	249	290	135	97	152	129	231	102	337	424	637
70d9c728f19673b62a19a1f35cf7b365	1235	1503	2225	485	147	256	69	78	35	684	400	637	96	214	287	422	381	718	77	46	22	265	229	382	45	125	114	41	31	116	5095	2972	6002	158	37	92	36	54	103	66	515	37	89	32	31	309	110	304	42	24	68	46	69	49	94	15	25	71	87	181
84c32b411704c577bac05b4016e09163	273	51	0	556	99	294	1156	608	583	195	74	177	103	558	212	2960	990	1719	203	251	310	901	411	1053	190	165	58	121	46	150	115	61	118	87	198	164	214	619	661	159	150	92	55	40	37	715	1374	938	133	251	233	1698	1336	1872	121	69	85	134	1095	86
711d30496a3a22846016f82a56f8bb99	245	180	0	175	258	213	207	186	133	1866	2854	1944	1045	1095	142	84	169	52	252	271	182	77	134	132	579	655	471	88	1115	469	190	176	173	164	95	202	128	187	107	207	86	1433	2611	214	921	62	55	133	419	238	241	55	0	119	577	633	367	42	24	1000
e9f99ca3c10b0ed54172d740e8e39f98	188	221	98	269	166	153	302	111	653	147	513	590	332	2361	4383	274	405	194	268	218	686	115	176	185	328	303	370	280	307	276	852	1300	674	798	266	224	287	2523	236	168	1138	138	379	683	209	138	80	178	0	237	121	31	90	83	52	36	45	26	76	117
6b478ea37b19110bb5aa69a0af5709e5	1328	403	0	368	216	274	1012	1287	1726	487	259	320	265	1352	341	215	71	35	219	275	240	750	454	399	199	1299	406	260	176	217	652	451	539	400	112	188	1613	1104	1290	191	332	149	237	194	162	101	71	72	368	352	398	379	520	461	99	119	71	0	82	75
2d65c440b2f73cf1cb9bb482ca91260d	191	142	0	173	284	202	168	178	110	1922	3270	2110	1143	1046	0	0	156	0	244	212	158	0	143	138	630	664	396	0	1137	399	165	153	198	179	0	191	91	181	102	144	90	1256	2413	158	815	0	0	116	391	211	231	0	0	106	509	657	348	0	0	965
1a4844e3c88039615d07669b6b9487c4	1300	1419	1456	282	140	116	62	70	67	558	459	506	80	141	215	85	132	125	7	20	21	131	206	198	11	80	161	33	31	24	3484	3690	4236	119	139	134	183	218	157	43	97	48	71	96	536	659	343	397	125	168	130	19	36	32	24	49	70	78	327	305
340844a888914cbc1247503e8049ce97	70	69	0	223	101	230	4289	4853	3580	199	108	165	105	0	0	0	0	0	137	197	304	52	41	88	0	0	0	0	0	0	0	0	0	19	166	151	2271	1729	3147	65	90	53	140	79	53	91	0	0	116	58	134	18	42	39	0	0	0	0	0	0
63fbf4767c8bd2e6a825e4764dd4cebc	0	84	0	160	76	74	29	0	0	234	0	0	0	81	292	235	132	64	87	54	45	1113	41	57	33	211	4626	4162	2145	2339	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	73	59	69	84	112	67	68	96	53	71	121	4966	0	0
cba11722ce90591febbeab00d80df28a	50	155	0	404	110	178	168	183	95	110	46	70	0	265	228	832	668	1338	1667	1235	1463	150	125	129	129	64	0	105	79	132	57	35	32	9	172	176	133	175	138	63	85	39	71	70	57	1190	1929	1040	1645	1519	1281	137	124	135	119	138	153	221	142	86
4df88442f40f6737983bc6d6ae2ef098	21	16	0	1043	140	346	23	32	13	40	0	23	25	281	177	1574	2260	3689	129	141	170	108	125	125	150	0	0	108	76	259	0	0	0	0	160	333	43	60	70	65	63	58	70	84	47	3190	1697	3016	64	105	75	64	68	100	71	65	60	279	100	242
c9939c390098bd8ad7d02725e970cb68	167	122	0	642	125	124	0	0	0	516	376	419	1451	307	857	719	863	332	144	120	90	111	112	124	2592	895	302	2955	1183	557	81	119	91	242	67	115	0	0	0	0	0	0	62	76	350	731	513	706	0	0	0	0	0	0	0	0	678	111	62	476
a189522a358f33e7f1aa8e7013874b8e	62	0	11	1708	200	86	0	0	0	53	44	54	29	166	78	223	2769	448	82	45	52	52	46	57	70	0	0	90	148	0	0	0	0	0	470	215	92	118	70	126	118	83	117	86	66	4016	6093	738	81	91	119	104	95	140	91	83	85	317	259	69
d381de34b44c0ce22503ae4d816cdb60	0	0	0	752	32	188	129	163	56	0	0	12	0	82	66	6696	1245	4102	316	406	215	68	85	88	47	68	95	288	150	522	0	8	0	0	45	62	47	39	31	31	39	24	22	18	23	3005	305	289	14	20	14	13	12	15	0	5	6	142	13	20
b8e76ff305830ab0b8bae12d299b547a	167	33	0	79	207	342	84	56	0	44	257	0	175	222	113	109	313	149	278	283	213	45	99	65	1521	455	196	0	193	90	90	136	87	451	279	492	149	97	72	138	253	122	235	262	120	171	393	517	707	412	467	293	327	303	467	1029	179	520	1758	2820
8bab6abdfdd44cd1986afa7c3f9c6356	220	445	77	680	825	615	114	156	110	274	199	172	136	68	142	189	220	97	325	387	328	32	67	60	91	67	119	104	162	148	212	532	441	643	860	568	124	178	142	98	129	66	136	148	587	135	391	298	654	844	831	159	120	172	178	141	1967	129	1326	245
65f93f03a59e463e4d99e94c12e13b32	205	33	0	22	10	27	884	433	337	264	77	123	49	408	150	70	31	59	119	121	100	2138	1646	958	96	171	42	12	0	12	182	75	113	25	18	25	437	498	472	116	125	60	25	30	22	20	112	124	244	280	324	1779	2080	2467	115	53	92	97	0	0
4d182c2c79f2a7b9d7639c81c0145481	153	582	137	271	257	142	67	58	35	132	105	139	55	25	141	48	62	48	16	18	12	20	30	43	15	17	84	0	19	7	241	335	401	90	190	203	141	144	102	196	188	133	12054	150	111	264	106	108	19	0	24	33	0	53	361	50	0	23	24	24
42b1ffb4963cc391ad61096f5d91b082	33	13	10	75	37	64	1115	891	1076	340	61	114	20	54	70	112	83	102	109	182	161	3080	496	368	42	0	0	0	0	0	113	28	39	0	0	42	791	499	1049	83	85	69	28	21	0	63	120	106	374	88	187	1390	1534	2110	76	34	56	104	0	0
f8c2fe916d985ce35752c67e7d98b9c0	564	1207	74	281	190	154	529	424	447	136	165	177	78	748	420	501	266	336	497	402	579	44	38	70	152	1038	1079	1054	982	853	512	434	622	302	27	42	52	84	105	397	16	13	17	21	18	183	127	231	49	79	148	16	0	10	13	39	6	108	147	135
f179e56aa95dd25a171dee116db6e41d	54	38	62	2809	1820	323	84	80	62	88	66	72	112	15	0	161	94	21	162	122	183	0	8	20	64	11	0	82	54	0	67	186	311	1600	3355	3520	107	59	78	67	69	39	85	72	59	76	145	121	211	150	96	0	0	4	19	9	11	10	113	81
9eb2dccc88fb7ab8f290b1138a649d4a	253	67	0	192	88	79	0	0	0	0	58	71	3236	3625	2036	140	228	112	0	0	0	0	0	0	295	204	237	574	932	319	70	0	0	116	0	74	0	181	271	0	0	405	0	137	2202	217	208	213	0	0	0	0	0	0	0	0	64	156	138	0
d7852082aee82fc0a34f7d9207ae8af5	26	31	0	571	390	877	200	118	73	187	83	88	54	63	93	146	116	116	2289	1650	1011	117	100	74	58	57	59	92	179	109	67	23	27	427	597	478	152	112	75	21	26	15	63	59	44	43	177	116	2415	1387	938	54	63	89	134	87	102	101	114	59
642853810bcd6599123200566d3b73ad	383	656	199	296	388	402	252	295	142	318	253	310	160	271	171	129	209	152	228	298	171	79	128	144	120	1800	595	302	476	553	323	563	445	493	420	354	156	185	142	43	72	38	164	104	80	110	201	258	308	296	208	34	45	214	126	76	65	35	1206	336
fc74aefd8fc116e9a5b12e5d4da76d6f	34	29	0	657	45	136	15	0	15	26	19	10	11	154	122	3955	649	1155	98	107	79	50	66	83	80	12	0	146	19	106	15	26	14	0	165	217	96	133	77	81	119	76	95	77	66	4078	1336	1251	50	46	58	42	40	43	40	36	33	377	88	97
9fb82f32eb82975222f78b04260eaa3a	1173	1756	615	394	577	348	147	148	125	574	343	340	188	201	299	43	133	28	0	43	325	130	115	122	38	123	278	17	59	10	2166	1010	1447	364	380	231	32	0	0	0	0	0	88	52	0	156	280	232	35	46	0	0	0	0	69	50	0	120	553	445
6f1d5d111053b0aa270b9614be02b0c1	18	16	17	723	140	177	20	50	27	51	51	39	30	162	164	897	1062	1014	83	112	75	78	98	101	53	13	17	132	133	163	32	11	18	0	246	340	289	337	256	1303	311	1292	350	315	390	1711	1078	887	63	81	56	128	52	270	55	46	59	218	202	97
9bc9a78621af964b4feabb73bc4f5f7d	336	187	0	126	114	109	735	1162	2150	235	171	197	108	301	178	52	41	52	97	126	236	478	385	230	42	225	128	20	0	16	185	113	128	67	118	144	1286	1064	1255	122	157	86	127	99	94	73	59	82	141	144	137	384	426	605	47	36	45	39	12	0
b721774f75493bc4121a91d6a84da6bc	412	778	1170	37	41	36	26	40	18	155	103	137	23	34	97	0	0	0	0	0	0	18	27	34	0	27	62	0	0	0	526	646	836	20	0	373	249	456	335	156	1144	149	17	469	227	395	0	252	213	311	323	86	729	146	7	313	162	419	804	2319
067df9be799c033a4cb13a5537b2bc8e	918	1276	2746	421	136	235	33	37	27	182	67	138	0	0	87	0	0	0	290	401	260	55	38	61	0	0	37	0	0	0	3179	1705	1904	0	177	0	0	0	21	0	0	0	0	30	0	85	88	96	0	0	532	0	0	0	0	0	12	18	22	0
21797842f1e1946123b1398a316b0a51	158	0	0	92	267	136	121	81	40	268	271	245	76	272	45	85	185	68	498	437	273	185	224	266	421	666	328	325	852	424	373	314	307	279	204	227	146	314	70	70	66	34	367	97	333	54	115	97	486	619	442	55	42	52	299	116	351	987	173	221
efab2240832d395cfc3359f79fdcd331	270	2250	253	271	133	194	114	118	93	302	165	199	112	93	457	275	257	325	37	29	39	61	50	68	23	14	285	31	32	40	624	206	398	52	255	130	511	532	641	119	226	309	691	178	471	211	198	154	335	172	83	26	13	103	331	22	245	23	426	262
b1f4a4a5247d96f9528f9ed35fed4a10	113	69	0	120	146	90	50	14	30	23	0	0	191	462	283	212	163	141	85	73	128	25	33	24	186	241	280	371	581	121	38	40	35	227	215	331	48	96	75	80	99	95	144	125	152	117	308	596	281	264	306	94	119	149	191	222	109	1024	885	3560
e0b08ad781c030511793ded77b522625	269	0	0	0	63	53	1057	564	475	158	0	175	94	302	97	0	0	0	133	107	219	699	322	821	0	136	0	0	0	0	118	53	111	59	110	0	153	533	635	148	148	69	43	0	0	0	158	0	91	189	174	1469	1234	1683	119	58	61	60	1032	0
30bc816398fb93d33d6b6d65715245c3	0	0	0	102	7	30	190	130	160	46	0	60	0	0	0	251	0	0	460	217	101	495	671	808	0	0	24	4937	35	57	0	0	0	0	41	32	113	181	291	0	40	0	35	27	0	21	94	131	404	221	268	607	1132	817	36	78	0	113	21	0
2fefbb4dbbc5b23f76b0626147f0d890	766	829	1636	93	104	87	56	60	31	278	421	301	65	94	137	29	65	89	0	10	0	64	186	125	0	60	61	0	23	32	1302	2830	2145	123	14	27	84	104	28	0	19	0	10	10	0	53	108	223	90	71	48	29	23	13	12	11	25	23	113	150
2c2de8203fb51648787a2431495be0c6	92	53	0	278	105	63	116	142	161	65	360	376	941	399	883	166	437	111	40	32	53	69	54	91	420	207	66	1810	1094	148	30	107	60	63	35	71	88	232	131	92	50	72	338	185	1607	294	147	220	25	22	35	22	25	30	19	44	138	47	43	98
